種別,名前,攻撃力,守備力,買値,売値,効果,入手方法,備考
装備兜,てつかぶと,,20,1100,330,なし,リムルダールの装備屋（1100G）,
装備兜,てっかめん,,31,3600,1080,なし,"メルキドの装備屋3（3600G）
メダル王の城の道具屋（3600G）",
装備兜,猛牛ヘルム,,45,8800,1320,なし,"メルキドの装備屋3（8800G）
ドワーフの洞窟_地下3階の装備屋（8800G）",
装備兜,知力のかぶと,,60,17700,7080,なし,ドワーフの洞窟_地下3階の装備屋（17700G）,
装備兜,ロトのかぶと,,76,-,-,眠り・混乱・幻惑・マヒ・即死などの効果にかかりにくくなり、雷属性の呪文や特技が強化される,ラダトーム西の島 のじめん,
装備兜,はんにゃのめん,,255,-,1,常に混乱状態になってしまう。装備すると呪われ、教会で解呪することでしか外せなくなる。,旅人の宿屋 の宝箱,
装備兜,ふこうのかぶと,,69,-,13,運が0になる。装備すると呪われ、教会で解呪することでしか外せなくなる。,"聖なるほこら周辺 のキラキラ
竜王の城_地下2階 の宝箱",
装備兜,皮のぼうし,,4,65,20,なし,"ガライの装備屋（65G）
ラダトームの装備屋（65G）
ガライ周辺 のキラキラ",
装備兜,きのぼうし,,10,350,77,なし,"リムルダールの装備屋（350G）
マイラの装備屋（350G）
マイラ周辺 のキラキラ
メルキド のタンス",
装備兜,風のぼうし,,28,2500,575,風属性の呪文ダメージを軽減する,"メダル王の城の道具屋（2500G）
ドムドーラ のタル",
装備兜,ふしぎなぼうし,,18,-,6,呪文や特技の消費MPを減らす,"沼地の洞窟_地下2階 の宝箱
メイジキメラからドロップ",
装備兜,やまびこのぼうし,,25,-,411,戦闘中に唱えた呪文が2回連続で発動する,岩山の洞窟周辺 のひみつの場所,
装備兜,ターバン,,6,190,53,なし,"ガライの装備屋（190G）
ガライ周辺 のキラキラ",
装備兜,かげのターバン,,36,-,1480,なし,迷いの森② の宝箱,
装備兜,毛皮のフード,,14,510,120,なし,"マイラの装備屋（510G）
リムルダール周辺 のキラキラ",
装備兜,ファントムマスク,,34,-,660,敵の物理攻撃をかわしやすくなる,メダル王の城 の宝箱,
装備盾,皮の盾,,4,120,36,なし,"マイラの装備屋（120G）
ラダトームの装備屋（120G）
ラダトーム周辺 のキラキラ
ロトの洞窟_地下1階 の宝箱",
装備盾,うろこの盾,,10,350,94,なし,"マイラの装備屋（350G）
ガライの装備屋（350G）
マイラ周辺 のキラキラ",
