種別,名前,消費MP,基礎最小,基礎最大,高賢さ最小,高賢さ最大,倍率,専用,効果,習得レベル,巻物取得可能,備考,,,,,,,,,,元行
特技,けもの突き,7,,,,,1.1,1.6,けもの系の敵に威力を発揮する鋭い突き技,1,,,,,,,,,,,,3
特技,かえん斬り,6,,,,,1.1,,炎のチカラを武器に宿して敵1体を斬る,6,,,,,,,,,,,,4
特技,ドラゴン斬り,7,,,,,1.1,1.6,ドラゴン系の敵に威力を発揮する竜殺しの剣技,12,,,,,,,,,,,,5
特技,しんくう斬り,8,,,,,1.1,,風のチカラを武器に宿して敵1体を斬りつける,18,,,,,,,,,,,,6
特技,いなずま斬り,8,,,,,1.1,,雷のチカラを武器に宿して敵1体を斬りつける,24,,,,,,,,,,,,7
特技,はやぶさ斬り,10,,,,,0.6,,敵1体にはやぶさのごとき高速の2回攻撃,27,,,,,,,,,,,,8
特技,ミラクルソード,13,,,,,1.3,,敵1体を斬りつけ自らのキズも癒やす秘剣、8分の3回復,,ミラクルの巻物,"巻物入手: ドワーフの洞窟_地下1階 の宝箱
ドワーフの洞窟・地下1階",,,,,,,,,,9
特技,ゾンビ斬り,7,,,,,1.1,1.6,ゾンビ系の敵に威力を発揮する聖なる剣技,,ゾンビ斬りの巻物,"巻物入手: ドワーフの洞窟_地下2階 の宝箱
ドワーフの洞窟・地下2階",,,,,,,,,,10
特技,あくま斬り,7,,,,,1.1,1.6,あくま系の敵に威力を発揮する秘伝の剣技,,あくま斬りの巻物,"巻物入手: ドムドーラ のタル
ドムドーラの武器屋にあるタル",,,,,,,,,,11
特技,やいばくだき,6,,,,,1,,敵1体を攻撃しつつ攻撃力も下げる,,やいばくだきの巻物,"巻物入手: メルキド のタンス
メルキドの西側にある民家2階のクローゼット",,,,,,,,,,12
特技,マヒャド斬り,14,,,,,1.3,,氷のチカラを武器に宿して敵1体を斬る,,マヒャド斬りの巻物,"巻物入手: ガライの墓_地下3階① の宝箱
ガライの墓・地下3階にある宝箱（最後の鍵）",,,,,,,,,,13
特技,ギガスラッシュ,38,275,375,,,,,稲妻のやいばで敵全体をなぎ払う剣の奥義,40,,,,,,,,,,,,14
特技,うけながし,3,,,,,,,敵の攻撃を受け流し敵か自分にダメージ,1,,,,,,,,,,,,15
特技,みかわしきゃく,4,,,,,,,おどるような足さばきで敵の攻撃をかわす,10,,,,,,,,,,,,16
特技,大ぼうぎょ,2,,,,,,,ダメージを大幅に減らす防御の秘法,16,,,,,,,,,,,,17
特技,めいそう,30,,,,,,,めいそうしてHPを大幅に回復,,めいそうの巻物,"巻物入手: ちいさなメダル（35枚）
ちいさなメダル35枚目の報酬",,,,,,,,,,18
特技,せいしんとういつ,8,,,,,,,しばらくの間毎ターンMPを回復させる,,せいしんの巻物,"巻物入手: 迷いの森② の宝箱
迷いの森2マップ目",,,,,,,,,,19
特技,ちからため,3,,,,,,,チカラをためてつぎの攻撃にそなえる,,ちからための巻物,"巻物入手: 岩山の洞窟_地下2階② の宝箱
岩山の洞窟・地下2階",,,,,,,,,,20
特技,ビーストモード,30,,,,,,,しばらくの間1ターンに2回行動できるようになる,,ビーストの巻物,"巻物入手: ちいさなメダル（10枚）
ちいさなメダル10枚目の報酬",,,,,,,,,,21
特技,すなけむり,3,,,,,,,すなけむりに包み敵1グループの攻撃命中率を下げる,,すなけむりの巻物,"巻物入手: ロトの洞窟_地下1階 の宝箱
ロトの洞窟・地下1階",,,,,,,,,,22
特技,くちぶえ,0,,,,,,,敵モンスターを呼び寄せる,,くちぶえの巻物,"巻物入手: ガライの墓_地下1階 の宝箱
ガライの墓・地下1階にある宝箱（盗賊の鍵）",,,,,,,,,,23
特技,とうぞくのはな,0,,,,,,,今いる場所に残っている宝の数がわかる,,とうぞくの巻物,"巻物入手: 岩山の洞窟_地下1階 の宝箱
岩山の洞窟・地下1階",,,,,,,,,,24
特技,しのびあし,4,,,,,,,しずかに移動することですこしの間敵と出会いにくくなる,,しのびあしの巻物,"巻物入手: ドムドーラ のじめん
ドムドーラの北東の毒沼近くの地面",,,,,,,,,,25
呪文,ホイミ,3,,,,,,,HPを30〜回復する,3,,,,,,,,,,,,26
呪文,ラリホー,3,,,,,,,敵1グループを眠りにさそう,6,,,,,,,,,,,,27
呪文,インパス,0,,,,,,,道具を鑑定したり宝箱の中身を判別する,8,,,,,,,,,,,,30
