ボス戦名,個体名,メラ,ギラ,イオ,ヒャド,バギ,デイン,攻撃ダウン,防御ダウン,すばやさダウン,マヒ,眠り,呪文封印
カンダタ,カンダタ,○,○,○,○,○,○,○,△,○,○,△,○
カンダタ,カンダタこぶん,△,△,○,○,△,○,○,○,△,○,○,×
ようじゅつし,ようじゅつし,○,○,○,○,○,○,○,○,○,○,○,○
よろいのきし,よろいのきし,○,○,○,○,◎,◎,○,○,○,△,△,○
よろいのきし,かげのきし,○,○,○,△,○,◎,○,○,○,×,○,○
ドラゴン,ドラゴン,△,△,△,○,○,○,○,○,△,○,○,×
ダークドリーマー,ダークドリーマー,△,△,○,△,◎,○,○,×,○,○,○,△
ゴーレム,ゴーレム,△,△,○,○,◎,○,○,○,○,○,○,×
ドラゴンフライ,ドラゴンフライ,○,○,○,○,○,○,○,○,○,○,○,○
ドラゴンゾンビ,ドラゴンゾンビ,◎,○,○,×,△,△,○,○,○,×,×,×
エイリアンフライ,エイリアンフライ,△,△,○,△,○,○,○,○,×,○,○,△
エイリアンフライ,ドラゴンフライ,○,○,○,○,○,○,○,○,○,○,○,○
マーダーゴイル,マーダーゴイル,△,△,○,◎,○,○,○,○,○,○,○,○
エクソダス,エクソダス,○,○,△,△,△,△,○,○,○,○,○,×
りゅうおう,りゅうおう,○,○,○,○,○,○,○,△,△,○,×,△
竜王,竜王,△,△,△,△,△,△,○,○,×,○,×,×
