No,町・ダンジョン名,名称,場所
1,ラダトームの城,17G,城1F南東魔法使いのいるそばのツボ
2,ラダトームの城,8G,城1F南東端左のツボ
3,ラダトームの城,キメラのつばさ,城1F南東端右のツボ
4,ラダトームの城,すばやさのたね,城1F南西の柱のそばのタル
5,ラダトームの城,せいすい,城1F南西の柱のそばのツボ
6,ラダトームの城,ステテコパンツ,城1F南東の風呂そばの地面
7,ラダトームの城,キメラのつばさ,裏庭北東の建物のタル
8,ラダトームの城,どくけしそう,裏庭の東側外壁沿いの北側のツボ
9,ラダトームの城,ラックのたね,裏庭の東側外壁沿いの南側のツボ
10,ラダトームの城,131G,地下1F階段そばのタル
11,ラダトームの城,まもりのたね,城2F南東の部屋のツボ
12,ラダトームの城,こんぼう,城2F南西の部屋のタル
13,ラダトームの城,32G,城2F外観西側のツボ
14,ラダトームの城,やくそう,城2F外観最上部の手前のタル
15,ラダトームの城,ふしぎなきのみ,城2F外観最上部の奥のタル
16,ラダトームの町,ちからのたね,道具屋の東側の対岸の木の陰のツボ
17,ラダトームの町,53G,南東端で竜王の城を眺めている男性のそばのツボ
18,ラダトームの町,16G,町中心付近、大工がいるそばのタル
19,ラダトームの町,どくけしそう,道具屋南側のツボ
20,ラダトームの町,49G,宿屋東側、北側のタル
21,ラダトームの町,やくそう,宿屋東側、南側のタル
22,ラダトームの町,命のきのみ,武器屋そばの墓の南側の地面
23,ラダトームの町,うさぎのしっぽ,南東の民家1Fの壁掛けの袋
24,ラダトームの町,特典,宿屋内の輝く宝箱
25,ロトの洞窟,56G,B1F北端のタル
26,ロトの洞窟,皮の盾,B1F北東端の宝箱
27,ロトの洞窟,すなけむりの巻物,B1F中央の通路の突き当りの宝箱
28,ロトの洞窟,せいなるナイフ,B1F南西端の宝箱
29,ロトの洞窟,竜のうろこ,B1F東の宝箱
30,ロトの洞窟,314G,B2F中央の通路突き当りの宝箱
31,ロトの洞窟,ちいさなメダル,B2F南西の宝箱
32,ロトの洞窟,まほうのせいすい,B2F南西の左のツボ
33,ロトの洞窟,やくそう×2,B2F南西の中央のツボ
34,ロトの洞窟,103G,B2F南西の右のツボ
35,ロトの洞窟,キメラのつばさ,B2F西の宝箱
36,ガライ,かしこさのたね,海岸の右のツボ
37,ガライ,66G,海岸の左のツボ
38,ガライ,おなべのフタ,道具屋の前のタル
39,ガライ,ちいさなメダル,西端の釣り場のツボ
40,ガライ,ステテコパンツ,宿屋客室の右のタンス
41,ガライ,皮のよろい,宿屋客室の左のタンス
42,ガライ,トラマナの巻物,民家の本棚
43,ガライ,122G,民家のタンス
44,忘れられた廃墟,ちいさなメダル,南の廃墟のタル
45,忘れられた廃墟,ちからのたね,北西端のツボ
46,マイラ,ようせいのふえ,温泉の南側のキラキラ
47,マイラ,ささやきのみつ,教会そばの馬のそばのツボ
48,マイラ,115G,宿屋そばのタル
49,マイラ,においぶくろ,武器屋の左側のタル
50,マイラ,ステテコパンツ,温泉のツボ
51,マイラ,ちいさなメダル,北西の魔法使いのそばのツボ
52,マイラ,47G,道具屋1Fのタル
53,マイラ,ちいさなメダル,道具屋2F東側のツボ
54,雨のほこら,ヒャドの巻物,1F南東の宝箱
55,雨のほこら,ちいさなメダル,1F西の右側のツボ
56,雨のほこら,キメラのつばさ,1F西の左側のツボ
57,雨のほこら,いのりのゆびわ,1F南西の丸い大きな部屋の中央の地面
58,岩山の洞窟,340G,B1F南西の宝箱
59,岩山の洞窟,どくけしそう×2,B1F南東の階段から北側のタル
60,岩山の洞窟,ブーメラン,B1F南東の階段から北側の宝箱
61,岩山の洞窟,上やくそう×3,B1F南東の階段の先のB2Fの北側のツボ
62,岩山の洞窟,てつのオノ,B1F南東の階段の先のB2Fの南側のツボ
63,岩山の洞窟,ちいさなメダル,B1F中央やや北の宝箱
64,岩山の洞窟,ちからための巻物,B1F北西の階段の先のB2Fの宝箱
65,岩山の洞窟,まだらくもいと,B1F北東の四角い部屋の西側のツボ
66,岩山の洞窟,26G,B1F北東の四角い部屋の北側のタル
67,岩山の洞窟,いしのかつら,B1F北東の四角い部屋の南側の宝箱
68,岩山の洞窟,とうぞくの巻物,B1F東端の部屋の宝箱
69,岩山の洞窟,上やくそう×2,B2F中央やや東のベッドが2つある部屋のツボ
70,岩山の洞窟,せいどうの盾,B2F南東の宝箱
71,岩山の洞窟,まほうのせいすい×2,B2F北西の宝箱
72,岩山の洞窟,37G,B2F南の居間跡のツボ
73,岩山の洞窟,スタミナのたね,B2F南の居間跡のタル
74,岩山の洞窟,死の首かざり,B2F最深部の左の宝箱
75,岩山の洞窟,ゾンビメイル,B2F最深部の右の宝箱
76,岩山の洞窟,とうぞくのかぎ,自動で入手
77,沼地の洞窟,ちいさなメダル,B1F北東端のタル
78,沼地の洞窟,キメラのつばさ,B1F北側の資材が積んである場所のタル
79,沼地の洞窟,上やくそう,B1F北側のテーブルと木箱がある部屋のツボ
80,沼地の洞窟,てつのやり,B1F南東端の宝箱
81,リムルダール,まだらくもいと,武器屋の南側の庭のタル
82,リムルダール,きれいな水,北の民家の左の入り口そばのツボ
83,リムルダール,たけざお,南西の馬の近くのタル
84,リムルダール,228G,宿屋客室入口横の壁賭けの袋
85,リムルダール,ラックのたね,教会西側入口入ったところの1Fタル
86,リムルダール,ちいさなメダル,北の右の民家の引き出し
87,リムルダール,165G,堀の外側、南西のタル
88,リムルダール,まほうのせいすい,カギの魔法使いの家の入口前の左のツボ
89,リムルダール,かしこさのたね,カギの魔法使いの家の入口前の右のツボ
90,リムルダール,バリアの巻物,カギの魔法使いの家の中の宝箱
91,ドワーフの洞窟,キメラのつばさ,B1F左から2番目の通路の先の左のツボ
92,ドワーフの洞窟,やくそう×2,B1F左から2番目の通路の先の右のツボ
93,ドワーフの洞窟,いしのかつら,B2F南エリア南西端の奥のタル
94,ドワーフの洞窟,毛皮のベスト,B2F南エリア南西端の中央のタル
95,ドワーフの洞窟,こんぼう,B2F南エリア南西端の手前のタル
96,ドワーフの洞窟,こおりの盾,B1F南東エリアの突き当たりの宝箱
97,ドワーフの洞窟,なぞのこな,B2F中央エリア北の通路突き当りの左のツボ
98,ドワーフの洞窟,命の石,B2F中央エリア北の通路突き当りの右のツボ
99,ドワーフの洞窟,ひとくいばこ,B2F中央エリア東の突き当たりの宝箱
100,ドワーフの洞窟,まほうのせいすい,B1F北東のタル
101,ドワーフの洞窟,上やくそう×2,B2F北東エリアの通路のツボ
102,ドワーフの洞窟,ミラクルの巻物,B1F北東端の孤立したエリアの宝箱
103,ドワーフの洞窟,ゾンビ斬りの巻物,B2F北エリアの南側の宝箱
104,ドワーフの洞窟,76G,B1F北エリアの北端の手前のツボ
105,ドワーフの洞窟,まもりのたね,B1F北エリアの北端の奥のツボ
106,ドワーフの洞窟,ルビーのうでわ,B1F北エリアの泉に突き出た足場の先端の地面
107,ドワーフの洞窟,ちいさなメダル,B2F北西エリアの南の通路突き当りの宝箱
108,ドワーフの洞窟,スタミナのたね,B3F西の泉のそばの右のツボ
109,ドワーフの洞窟,あぶないエキス,B3F西の泉のそばの左のツボ
110,ドワーフの洞窟,湧き水の結晶,B3Fの井戸の中の輝く結晶
111,ドワーフの洞窟,バイキルミン,B3F左の部屋の引き出し
112,ドワーフの洞窟,てつのやり,B3F左の部屋のタンス
113,妖精の隠れ里,ふしぎなきのみ,里の北側の泉の右側の地面
114,妖精の隠れ里,ささや木の樹液,工房の前のツボ
115,妖精の隠れ里,まんげつのリング,工房内の南東側のタル
116,妖精の隠れ里,せいすい×2,工房内の北東側の左のタル
117,妖精の隠れ里,ちいさなメダル,工房内の北東側の右のタル
118,妖精の隠れ里,まほうのせいすい,工房内の北西側のツボ
119,妖精の隠れ里,マホステの巻物,西側の家の右の本棚
120,妖精の隠れ里,ヒャダルコの巻物,西側の家の手前の宝箱
121,妖精の隠れ里,ようせいの剣,西側の家の奥の宝箱
122,メダル王の城,けんじゃのせいすい,城1F東側のとうぞくのかぎで開く宝箱
123,メダル王の城,リホイミの巻物,城1F西側のとうぞくのかぎで開く宝箱
124,ドムドーラ,427G,北西のツボ
125,ドムドーラ,においぶくろ,北の廃墟前のタル
126,ドムドーラ,はめつの盾,中央右の廃墟のタル
127,ドムドーラ,風のぼうし,南西廃墟のタル
128,ドムドーラ,ちいさなメダル,南東廃墟のツボ
129,ドムドーラ,しのびあしの巻物,東側毒の沼地の北側にある魔法陣がかかれた丸いテーブルのそばの地面
130,ドムドーラ,ちいさなメダル,入ることができる屋内のツボ
131,ドムドーラ,あくま斬りの巻物,入ることができる屋内のタル
132,ひみつの花畑,目覚めの花,南西側の丘の上のキラキラ
133,ひみつの花畑,かがやき草,北東側の丘の上のキラキラ
134,ひみつの花畑,ひかるタネ×2,目覚めの花とかがやき草を入手で自動入手
135,沼地の洞窟,特やくそう,B2F南の通路突き当たりの宝箱
136,沼地の洞窟,月光のしずく,B2Fの中央の空間の光っている草
