No,周辺地域,アイテム
1,ラダトーム周辺,ラダトームの北ちからのたね×1やくそう×2ゴールド×122
2,ラダトーム東部,ラダトームの東においぶくろ×1せいすい×2とげのムチ×1ゴールド×308
3,ガライ周辺,ガライ周辺の西どくけしそう×3ちいさなメダル×1ゴールド×57
4,マイラ周辺,マイラ周辺中央なし
5,リムルダール周辺,リムルダール周辺の砂漠すばやさのたね×1どくがのこな×2はでな服×1やいばのブーメラン×1
6,リムルダール周辺,リムルダール周辺の南西なし
7,聖なるほこら周辺,聖なるほこら周辺の東まよけのすず×1はやてのベスト×1
8,ドムドーラ周辺,ドムドーラ周辺の南ちいさなメダル×1しのびの服×1ゴールド×2455
9,精霊のほこら周辺,精霊のほこら周辺の毒沼を抜けた先なぞのこな×1ゴールド×8803
10,岩泣き島周辺,岩泣き島周辺中央※ドワーフに「岩泣き島周辺」に繋がる橋を修復してもらった後ちいさなメダル×1ちからのゆびわ×1はやてのリング×1やいばのよろい×1
11,岩山の洞窟周辺,岩山の洞窟周辺北※雨のほこらであまぐもの杖入手後に出現ミラーシールド×1やまびこのぼうし×1
12,岩山の洞窟周辺,岩山の洞窟周辺東※雨のほこらであまぐもの杖入手後に出現ささや木の樹液×1ちいさなメダル×1ゴールド×7244
13,リムルダール周辺,リムルダール周辺の砂漠中央※雨のほこらであまぐもの杖入手後に出現ちからのたね×1はかいのつるぎ×1
14,ドムドーラ東部,ドムドーラ東部の西※雨のほこらであまぐもの杖入手後に出現ちいさなメダル×1おなべのフタ×1大樹のマント×1
15,ラダトーム周辺,ラダトームの西※雨のほこらであまぐもの杖入手後に出現なし
