番号,入手物,場所
1.0,ちからのたね,中央のタル
1.0,やくそう×2,西側のタル
1.0,122G,北側のタル
2.0,ちいさなメダル,中央のツボ
2.0,57G,西側の奥のツボ
2.0,どくけしそう×3,西側の手前のツボ
3.0,せいすい×2,手前の左のタル
3.0,においぶくろ,手前の右のタル
3.0,とげのムチ,奥の左のタル
3.0,308G,奥の右のタル
4.0,なし,なし
5.0,どくがのこな×2,左のタル
5.0,すばやさのたね,右のタル
5.0,やいばのブーメラン,中央左の木の根元の地面
5.0,はでな服,中央の巨岩の裏側の地面
6.0,なし,なし
7.0,ちいさなメダル,入口から真っ直ぐ上に進んだところの木の左の地面
7.0,しのびの服,旅の戦士がいるあたりの地面
7.0,2455G,あらくれがいるあたりから南の地面
8.0,なぞのこな,中央のタル
8.0,8803G,南側の巨岩の裏側の地面
9.0,ちいさなメダル,中央の宝箱
9.0,ちからの指輪,左の赤い宝箱
9.0,やいばのよろい,右の青い宝箱
10.0,はやてのベスト,東側のツボ
10.0,まよけのすず,西側の小高い丘の上の地面

