レベル,DQ2ローレシア王子,次レベルまで,DQ2サマルトリア王子,次レベルまで,DQ2ムーンブルク王女,次レベルまで,DQ2サマルトリア王女,次レベルまで
2,10,23,,,,,,
3,33,47,,,,,,
4,80,80,加入時,,,,,
5,160,111,88,62,,,,
6,271,117,150,93,,,,
7,388,128,243,141,,,,
8,516,235,384,209,,,,
9,751,364,593,315,,,,
10,"1,115",487,908,472,,,,
11,"1,602",828,"1,380",710,加入時,,,
12,"2,430","1,035","2,090",887,"2,006",853,,
13,"3,465","1,294","2,977","1,109","2,859","1,066",,
14,"4,759","1,617","4,086","1,386","3,925","1,332",,
15,"6,376","2,022","5,472","1,588","5,257","1,665",,
16,"8,398","2,528","7,060","1,985","6,922","2,082",,
17,"10,926","3,158","9,045","2,482","9,004","2,602",,
18,"14,084","3,875","11,527","3,103","11,606","3,251",,
19,"17,959","4,706","14,630","3,998","14,857","3,998",,
20,"22,665","5,536","18,628","4,759","18,855","4,497",加入時,
21,"28,201","6,364","23,387","5,355","23,352","5,058","22,282","4,634"
22,"34,565","7,197","28,742","6,024","28,410","5,692","26,916","5,100"
23,"41,762","8,050","34,766","6,508","34,102","6,403","32,016","5,641"
24,"49,812","8,928","41,274","6,948","40,505","7,204","37,657","6,330"
25,"58,740","9,778","48,222","7,173","47,709","8,104","43,987","5,113"
26,"68,518","10,616","55,395","8,151","55,813","8,118","49,100","10,002"
27,"79,134","11,453","63,546","8,607","63,931","11,255","59,102","8,945"
28,"90,587","12,307","72,153","9,844","75,186","11,539","68,047","10,024"
29,"102,894","13,195","81,997","11,874","86,725","12,981","78,071","11,070"
30,"116,089","15,486","93,871","14,604","99,706","13,743","89,141","12,981"
31,"131,575","17,984","108,475","16,428","113,449","15,460","102,122","15,200"
32,"149,559","18,785","124,903","18,483","128,909","17,392","117,322","17,822"
33,"168,344","21,134","143,386","20,792","146,301","19,566","135,144","20,049"
34,"189,478","23,776","164,178","23,391","165,867","22,012","155,193","22,555"
35,"213,254","26,747","187,569","24,764","187,879","24,764","177,748","26,314"
36,"240,001","30,091","212,333","27,857","212,643","27,857","204,062","29,603"
37,"270,092","33,852","240,190","31,339","240,500","31,340","233,665","33,304"
38,"303,944","38,082","271,529","35,257","271,840","35,256","266,969","37,467"
39,"342,026","42,150","306,786","38,751","307,096","39,286","304,436","40,010"
40,"384,176","42,482","345,537","43,139","346,382","42,516","344,446","41,722"
41,"426,658","45,919","388,676","46,925","388,898","46,625","386,168","45,333"
42,"472,577","50,053","435,601","51,454","435,523","51,449","431,501","49,018"
43,"522,630","53,169","487,055","56,817","486,972","57,079","480,519","52,872"
44,"575,799","56,723","543,872","62,315","544,051","63,685","533,391","56,511"
45,"632,522","59,722","606,187","66,106","607,736","70,272","589,902","60,331"
46,"692,244","62,716","672,293","71,529","678,008","76,858","650,233","63,877"
