景品場所,順位,景品
ムーンペタ,特等,おうごんのつめ （攻+62）
ムーンペタ,1等,やいばのブーメラン（攻+16）
ムーンペタ,2等,おどりこの服（守+24）
ムーンペタ,3等,まほうのせいすい
ムーンペタ,4等,どくけしそう
オアシス,特等,ゴールドカード
オアシス,1等,シルバートレイ（守+22）
オアシス,2等,ローズウィップ（攻+23）
オアシス,3等,まほうのせいすい
オアシス,4等,キメラのつばさ×2
リムルダール,特等,きんのブレスレット（守+15）
リムルダール,1等,ねこぐるみ（守+33）
リムルダール,2等,風のブーメラン（攻+33）
リムルダール,3等,命の石
リムルダール,4等,においぶくろ×3
ベラヌール,特等,金のロザリオ（守+10）
ベラヌール,1等,ふぶきのつるぎ（攻+101）
ベラヌール,2等,フリーズウィップ（攻+86）
ベラヌール,3等,まほうのせいすい
ベラヌール,4等,やくそう×2
デルコンダル城,特等,金のたけやり（攻+56）
デルコンダル城,1等,ふしぎなボレロ（守+50）
デルコンダル城,2等,プラチナソード（攻+73）
デルコンダル城,3等,バイキルミン
デルコンダル城,4等,ささやきのみつ
アルメハ,特等,黄金の指輪（守+1）
アルメハ,1等,しっぷうのレイピア（攻+67/早+20）
アルメハ,2等,ドラゴンテイル（攻+56）
アルメハ,3等,特やくそう
アルメハ,4等,まほうのせいすい
