No,作品名,種別,エリア名,必要LV
1,DQ2,フィールド,ローレシア周辺,1
2,DQ2,フィールド,ローレシア西周辺,1
3,DQ2,フィールド,リリザ東・ローレシア南周辺,1
4,DQ2,フィールド,リリザ～サマルトリア南・ローレシア北周辺,1
5,DQ2,フィールド,ローレシア東・サマルトリア北西・勇者の泉の洞窟西周辺,5
6,DQ2,ダンジョン,勇者の泉の洞窟,5
7,DQ2,フィールド,湖の洞窟南西・湖の洞窟西・アレフガルド北東周辺,6
8,DQ2,フィールド,湖の洞窟B1～B2,7
9,DQ2,ダンジョン,ローラの門の地下洞窟,8
10,DQ2,フィールド,ムーンペタ北周辺,9
11,DQ2,フィールド,ムーンペタ南・ムーンペタ東周辺,11
12,DQ2,フィールド,ムーンブルク東周辺,11
13,DQ2,フィールド,ムーンブルクの城,11
14,DQ2,フィールド,風の塔東周辺,12
15,DQ2,ダンジョン,風の塔1F～2F,12
16,DQ2,ダンジョン,風の塔3F～5F,12
17,DQ2,ダンジョン,風の塔6F～8F,13
18,DQ2,フィールド,砂漠東・砂漠周辺,14
19,DQ2,フィールド,ドラゴンの角南周辺～2階,14
20,DQ2,ダンジョン,ドラゴンの角南3階～5階,15
21,DQ2,ダンジョン,ドラゴンの角北1階～5階,16
22,DQ2,フィールド,ルプガナ周辺,16
23,DQ2,フィールド,ルプガナ北西,16
24,DQ2,フィールド,ドムドーラ周辺,18
25,DQ2,フィールド,アレフガルド海域,18
26,DQ2,フィールド,ラダトーム西周辺,18
27,DQ2,フィールド,ラダトーム・アレフガルド南西周辺,18
28,DQ2,フィールド,アレフガルド南東・大灯台周辺,18
29,DQ2,ダンジョン,竜王の城1～B1,18
30,DQ2,ダンジョン,竜王の城B2～B3,19
31,DQ2,ダンジョン,竜王の城B4～B6,20
32,DQ2,フィールド,ローレシア南のほこら北周辺,21
33,DQ2,ダンジョン,大灯台1F～3F,22
34,DQ2,ダンジョン,大灯台4F～8F,22
35,DQ2,フィールド,ペルポイ周辺,24
36,DQ2,フィールド,ベラヌール周辺,25
37,DQ2,フィールド,炎のほこら周辺,25
38,DQ2,フィールド,ベラヌール北周辺・勇者の泉の洞窟北東の小島,26
39,DQ2,ダンジョン,世界樹,26
40,DQ2,フィールド,デルコンダル周辺,28
41,DQ2,ダンジョン,妖精の城1階,30
42,DQ2,ダンジョン,妖精の城,31
43,DQ2,ダンジョン,人魚の聖域1階・地下1階,31
44,DQ2,ダンジョン,人魚の聖域地下2階～,32
45,DQ2,ダンジョン,なぞの海底基地地下1階,32
46,DQ2,フィールド,テパ西周辺,35
47,DQ2,ダンジョン,満月の塔1F～2F,35
48,DQ2,ダンジョン,満月の塔3F～5F,36
49,DQ2,ダンジョン,海底火山の洞窟B1～B2,36
50,DQ2,ダンジョン,海底火山の洞窟B3～B5,37
51,DQ2,ダンジョン,沈没船,40
52,DQ2,フィールド,ロンダルキア南のほこら周辺,43
53,DQ2,ダンジョン,ロンダルキアへの洞窟1F～3F,43
54,DQ2,ダンジョン,ロンダルキアへの洞窟3F～4F,44
55,DQ2,ダンジョン,ロンダルキアへの洞窟B1・5F～6F,45
56,DQ2,フィールド,ロンダルキア（南東）,45
57,DQ2,フィールド,ロンダルキア（北・南西）,46
58,DQ2,ダンジョン,ハーゴンの神殿2F～5F,46
